HOLDINGS,TICKER,FUND WEIGHT,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
NVIDIA Corp,NVDA,0.08,Semiconductors,US,---,"$142,057,740,469.40 ","643,435,730"
Apple Inc,AAPL,0.07,"Technology Hardware, Storage & Peripherals",US,---,"$123,635,525,562.65 ","390,202,069"
Microsoft Corp,MSFT,0.06,Systems Software,US,---,"$100,114,887,835.62 ","197,352,378"
Amazon.com Inc,AMZN,0.04,Broadline Retail,US,---,"$67,558,500,017.19 ","260,070,447"
Alphabet Inc,GOOGL,0.03,Interactive Media & Services,US,---,"$52,863,696,971.25 ","155,779,275"
Broadcom Inc,AVGO,0.03,Semiconductors,US,---,"$46,583,476,878.68 ","125,785,702"
Alphabet Inc,GOOG,0.02,Interactive Media & Services,US,---,"$42,116,332,548.97 ","125,566,717"
Meta Platforms Inc,META,0.02,Interactive Media & Services,US,---,"$33,393,587,667.78 ","58,345,717"
Micron Technology Inc,MU,0.02,Semiconductors,US,---,"$28,725,852,710.73 ","29,962,401"
Tesla Inc,TSLA,0.02,Automobile Manufacturers,US,---,"$27,520,846,006.50 ","74,795,070"
JPMorgan Chase & Co,JPM,0.01,Diversified Banks,US,---,"$25,341,297,464.42 ","71,179,421"
Berkshire Hathaway Inc,BRK/B,0.01,Multi-Sector Holdings,US,---,"$24,549,402,114.96 ","48,706,232"
Eli Lilly & Co,LLY,0.01,Pharmaceuticals,US,---,"$24,310,367,462.34 ","21,016,458"
Advanced Micro Devices Inc,AMD,0.01,Semiconductors,US,---,"$20,392,029,581.76 ","43,320,933"
ExxonMobil Holdings Corp,XOM,0.01,Integrated Oil & Gas,US,---,"$17,721,730,824.15 ","110,107,057"
Johnson & Johnson,JNJ,0.01,Pharmaceuticals,US,---,"$17,001,397,276.50 ","63,951,090"
Visa Inc,V,0.01,Transaction & Payment Processing Services,US,---,"$16,402,351,029.94 ","43,235,762"
Mastercard Inc,MA,0.01,Transaction & Payment Processing Services,US,---,"$12,630,159,690.65 ","21,432,115"
Walmart Inc,WMT,0.01,Consumer Staples Merchandise Retail,US,---,"$12,214,393,366.33 ","116,471,759"
AbbVie Inc,ABBV,0.01,Biotechnology,US,---,"$12,036,107,354.70 ","46,939,035"
Intel Corp,INTC,0.01,Semiconductors,US,---,"$11,745,262,313.20 ","131,217,320"
Cisco Systems Inc,CSCO,0.01,Communications Equipment,US,---,"$11,594,523,050.43 ","104,937,307"
Palantir Technologies Inc,PLTR,0.01,Application Software,US,---,"$11,370,136,874.92 ","61,005,134"
Costco Wholesale Corp,COST,0.01,Consumer Staples Merchandise Retail,US,---,"$11,123,155,606.53 ","11,784,377"
Bank of America Corp,BAC,0.01,Diversified Banks,US,---,"$10,741,110,168.20 ","173,411,530"
Chevron Corp,CVX,0.01,Integrated Oil & Gas,US,---,"$10,252,519,053.26 ","49,735,709"
Lam Research Corp,LRCX,0.01,Semiconductor Materials & Equipment,US,---,"$10,016,916,611.94 ","33,224,706"
Caterpillar Inc,CAT,0.01,Construction Machinery & Heavy Transportation Equipment,US,---,"$9,756,964,905.53 ","12,234,899"
Merck & Co Inc,MRK,0.01,Pharmaceuticals,US,---,"$9,694,480,701.92 ","65,609,642"
Applied Materials Inc,AMAT,0.01,Semiconductor Materials & Equipment,US,---,"$9,664,798,356.14 ","21,084,226"
UnitedHealth Group Inc,UNH,0.01,Managed Health Care,US,---,"$9,394,831,282.69 ","24,125,809"
General Electric Co,GE,0.01,Aerospace & Defense,US,---,"$9,304,273,149.10 ","27,715,210"
Coca-Cola Co/The,KO,0.01,Soft Drinks & Non-alcoholic Beverages,US,---,"$9,121,829,067.68 ","102,873,904"
Netflix Inc,NFLX,0.01,Movies & Entertainment,US,---,"$9,066,490,395.45 ","111,862,929"
Procter & Gamble Co/The,PG,0.01,Household Products,US,---,"$8,977,964,460.64 ","61,865,797"
Home Depot Inc/The,HD,0.00,Home Improvement Retail,US,---,"$8,673,358,314.74 ","26,456,878"
Palo Alto Networks Inc,PANW,0.00,Systems Software,US,---,"$8,233,470,805.28 ","21,546,256"
Philip Morris International Inc,PM,0.00,Tobacco,US,---,"$7,755,509,560.50 ","41,406,885"
Goldman Sachs Group Inc/The,GS,0.00,Investment Banking & Brokerage,US,---,"$7,555,201,565.80 ","7,364,462"
RTX Corp,RTX,0.00,Aerospace & Defense,US,---,"$7,432,242,461.94 ","35,778,378"
Wells Fargo & Co,WFC,0.00,Diversified Banks,US,---,"$7,022,538,913.66 ","81,288,794"
Morgan Stanley,MS,0.00,Investment Banking & Brokerage,US,---,"$6,793,289,739.52 ","31,845,536"
Oracle Corp,ORCL,0.00,Systems Software,US,---,"$6,722,555,964.16 ","45,081,518"
GE Vernova Inc,GEV,0.00,Heavy Electrical Equipment,US,---,"$6,415,002,820.26 ","7,139,442"
Texas Instruments Inc,TXN,0.00,Semiconductors,US,---,"$6,309,034,183.53 ","24,180,883"
Crowdstrike Holdings Inc,CRWD,0.00,Systems Software,US,---,"$6,249,622,071.00 ","27,054,641"
Amgen Inc,AMGN,0.00,Biotechnology,US,---,"$6,164,523,907.52 ","14,340,104"
Sandisk Corp,SNDK,0.00,"Technology Hardware, Storage & Peripherals",US,---,"$6,159,449,716.00 ","3,931,480"
Thermo Fisher Scientific Inc,TMO,0.00,Life Sciences Tools & Services,US,---,"$6,091,617,490.20 ","9,871,362"
KLA Corp,KLAC,0.00,Semiconductor Materials & Equipment,US,---,"$6,088,434,669.90 ","34,701,822"
Linde PLC,LIN,0.00,Industrial Gases,US,---,"$6,012,263,200.58 ","12,280,451"
Citigroup Inc,C,0.00,Diversified Banks,US,---,"$5,961,775,414.82 ","45,295,361"
International Business Machines Corp,IBM,0.00,IT Consulting & Other Services,US,---,"$5,840,289,107.38 ","24,972,374"
Salesforce Inc,CRM,0.00,Application Software,US,---,"$5,584,995,699.90 ","21,685,935"
Verizon Communications Inc,VZ,0.00,Integrated Telecommunication Services,US,---,"$5,548,043,730.16 ","110,916,508"
Arista Networks Inc,ANET,0.00,Communications Equipment,US,---,"$5,367,789,028.47 ","27,430,063"
